AG_TOT,ANC,ASPCTDEG,CL,COND,DOC,ELEVMEAN,FOR_TOT,KM_SEA,LAT_DD,LON_DD,Sodium,NH4,NO3,NTL,PHSTVL,POPDENKM,PRECIP_M,PTL,RD_DEN,RNG_TOT,SIO2,SLOPMEAN,SO4,STATE,TSS,TURB,URB_TOT,W1_HALL,WSAREA
0,3265,255,15.8,305.7,0.59,1621.4,93.71,65,41.66347,123.27663,67.4,0.3,0,40,8.48,0,2.314,28,0,5.31,17.06,24.36,115.1,CA,8.6,0.246,0,0,1.119
0,3075.1,11,389.2,319.3,0.9,1111.9,79.69,97,40.62567,122.95602,378.7,0.4,2.9,94,8.34,0.718,1.076,6,8.01,19.47,17.23,22.21,229.4,CA,0.1,0.2,0,1.136395455,146.1422
0,3785.9,132,130.3,383.9,1.73,1462.4,56.93,47,34.25461,118.08523,465,0.4,2.1,81,8.11,0,0.809,3,25.79,42.28,21.97,26.48,187.6,CA,0.1,0.15,0.28,0.401531818,3.9934
0.33,2322.4,116,757.3,315.6,2.23,1496,68.52,60,32.92981,116.55901,937.8,0.9,2.1,130,7.52,0,0.78,15,20.41,31.1,42.15,13.5,248.8,CA,1.3,0.173,0.01,0,7.9291
0,357.3,328,9,51.23,0.68,2903.5,85.84,106,34.14599,116.87859,115.3,0.8,0,74,7.67,0,0.955,9,6.42,12.71,12.48,23.56,114.7,CA,3.5,0.355,0,0,2.9514
0.17,1417.8,214,192.9,163.8,2.86,2072.9,52.76,88,33.72962,116.6735,798.5,0.6,2.9,131,7.42,0.173,0.81,7,3.78,46.87,44.54,26.34,39.8,CA,1.3,0.16,0,0,5.789
0,1504.9,69,26.2,144.7,0.72,1211,92,34,41.57212,123.64054,81,0.5,2.1,53,8.13,0.069,2.912,2,9.48,7.22,13.39,20.05,118,CA,0.2,0.129,0,0.636363636,14.515
0.49,2501.9,90,72.5,1312,1.66,1635.8,21.94,45,34.6408,119.08094,1022.6,0.4,0,84,8.1,0.119,0.521,3,2.11,70.93,19.38,16.87,13539.9,CA,0.1,0.188,0,0,67.1629
0.84,1814.6,102,371.8,230.4,3.6,1521.1,62.15,53,33.33669,116.82848,837.8,0.6,0,209,8.02,3.344,0.702,34,6.73,35.93,29.83,12.47,150.7,CA,1,0.262,0.07,0,25.4212
0.13,4649.9,139,493.6,599.3,0.96,768.8,13.69,9,34.42131,119.3806,1324.6,0.1,4.3,89,8.27,0.853,0.637,2,5.11,82.72,19.87,24.34,1480.7,CA,0.1,0.139,0.09,0,22.272
